count	class	samples
112	flex	<div.flex.w-full.items-center.justify-between.max-w-screen-2xl.mx-auto> "LogoipsumHomeCategoriesCartAccountAllSmartphonesHeadphonesEntertainmentAppliancesSearchStart typing " | <div.flex.items-center.gap-3> "Logoipsum" | <a.flex.h-8.w-auto.items-center.md:h-9> "Logoipsum" | <div.flex.items-center.gap-x-2> "Logoipsum"
107	items-center	<div.flex.w-full.items-center.justify-between.max-w-screen-2xl.mx-auto> "LogoipsumHomeCategoriesCartAccountAllSmartphonesHeadphonesEntertainmentAppliancesSearchStart typing " | <div.flex.items-center.gap-3> "Logoipsum" | <a.flex.h-8.w-auto.items-center.md:h-9> "Logoipsum" | <div.flex.items-center.gap-x-2> "Logoipsum"
91	dark:text-neutral-300	<a.flex-shrink-0.self-start.px-3.py-1.5.rounded-full.border.border-neutral-300.dark:border-neutral-600> "Have an account? Login" | <label.block.text-sm.font-medium.text-neutral-700.dark:text-neutral-300.mb-1.5> "Full Name *" | <label.block.text-sm.font-medium.text-neutral-700.dark:text-neutral-300.mb-1.5> "Email Address *" | <label.block.text-sm.font-medium.text-neutral-700.dark:text-neutral-300.mb-1.5> "Phone Number *"
88	w-full	<div.w-full.px-4.md:px-6.lg:px-8.pt-2.md:pt-3> "LogoipsumHomeCategoriesCartAccountAllSmartphonesHeadphonesEntertainmentAppliancesSearchStart typing " | <div.flex.w-full.items-center.justify-between.max-w-screen-2xl.mx-auto> "LogoipsumHomeCategoriesCartAccountAllSmartphonesHeadphonesEntertainmentAppliancesSearchStart typing " | <div.fixed.right-0.top-0.z-50.h-full.w-full.max-w-[420px].bg-white> "SearchStart typing to search products" | <input.w-full.px-4.py-3.pr-12.text-sm.bg-white.dark:bg-neutral-800.border>
85	cursor-pointer	<a.flex.flex-col.items-center.gap-1.text-xs.font-semibold.py-2.rounded-lg> "Home" | <button.flex.flex-col.items-center.gap-1.text-xs.font-semibold.py-2.rounded-lg> "Categories" | <button.flex.flex-col.items-center.gap-1.text-xs.font-semibold.py-2.rounded-lg> "Cart" | <button.flex.flex-col.items-center.gap-1.text-xs.font-semibold.py-2.rounded-lg> "Account"
85	transition-colors	<a.flex.flex-col.items-center.gap-1.text-xs.font-semibold.py-2.rounded-lg> "Home" | <button.flex.flex-col.items-center.gap-1.text-xs.font-semibold.py-2.rounded-lg> "Categories" | <button.flex.flex-col.items-center.gap-1.text-xs.font-semibold.py-2.rounded-lg> "Cart" | <button.flex.flex-col.items-center.gap-1.text-xs.font-semibold.py-2.rounded-lg> "Account"
73	px-3	<nav.px-3.h-16.border-t.border-neutral-200.bg-white.dark:border-neutral-800.dark:bg-black> "HomeCategoriesCartAccount" | <a.font-medium.text-neutral-300.hover:text-white.px-3.lg:px-4.py-2.rounded-full.transition-colors> "All" | <a.font-medium.text-neutral-300.hover:text-white.px-3.lg:px-4.py-2.rounded-full.transition-colors> "Smartphones" | <a.font-medium.text-neutral-300.hover:text-white.px-3.lg:px-4.py-2.rounded-full.transition-colors> "Headphones"
73	py-2	<a.flex.flex-col.items-center.gap-1.text-xs.font-semibold.py-2.rounded-lg> "Home" | <button.flex.flex-col.items-center.gap-1.text-xs.font-semibold.py-2.rounded-lg> "Categories" | <button.flex.flex-col.items-center.gap-1.text-xs.font-semibold.py-2.rounded-lg> "Cart" | <button.flex.flex-col.items-center.gap-1.text-xs.font-semibold.py-2.rounded-lg> "Account"
72	text-xs	<a.flex.flex-col.items-center.gap-1.text-xs.font-semibold.py-2.rounded-lg> "Home" | <button.flex.flex-col.items-center.gap-1.text-xs.font-semibold.py-2.rounded-lg> "Categories" | <button.flex.flex-col.items-center.gap-1.text-xs.font-semibold.py-2.rounded-lg> "Cart" | <button.flex.flex-col.items-center.gap-1.text-xs.font-semibold.py-2.rounded-lg> "Account"
71	gap-2	<div.flex.items-center.gap-2.md:gap-3> "SearchStart typing to search productsShopping CartYour cart is emptyAdd items to your cart to see th" | <h2.text-xl.sm:text-2xl.font-bold.text-neutral-900.dark:text-white.flex.items-center.gap-2> "Create your account" | <button.flex.w-full.items-center.justify-between.gap-2.rounded-lg.border.px-3> "Select your country" | <button.flex.w-full.cursor-pointer.items-center.justify-between.gap-2.px-3.py-2> "Afghanistan"
