count	class	samples
205	flex	<div.flex.w-full.items-center.justify-between.max-w-screen-2xl.mx-auto> "LogoipsumAllSmartphonesHeadphonesEntertainmentAppliancesSearchStart typing to search productsShoppin" | <div.flex.items-center.gap-3> "Logoipsum" | <a.flex.h-8.w-auto.items-center.md:h-9> "Logoipsum" | <div.flex.items-center.gap-x-2> "Logoipsum"
159	items-center	<div.flex.w-full.items-center.justify-between.max-w-screen-2xl.mx-auto> "LogoipsumAllSmartphonesHeadphonesEntertainmentAppliancesSearchStart typing to search productsShoppin" | <div.flex.items-center.gap-3> "Logoipsum" | <a.flex.h-8.w-auto.items-center.md:h-9> "Logoipsum" | <div.flex.items-center.gap-x-2> "Logoipsum"
111	w-full	<div.w-full.px-4.md:px-6.lg:px-8.pt-2.md:pt-3> "LogoipsumAllSmartphonesHeadphonesEntertainmentAppliancesSearchStart typing to search productsShoppin" | <div.flex.w-full.items-center.justify-between.max-w-screen-2xl.mx-auto> "LogoipsumAllSmartphonesHeadphonesEntertainmentAppliancesSearchStart typing to search productsShoppin" | <div.fixed.right-0.top-0.z-50.h-full.w-full.max-w-[420px].bg-white> "SearchStart typing to search products" | <input.w-full.px-4.py-3.pr-12.text-sm.bg-white.dark:bg-neutral-800.border>
105	justify-center	<div.!min-h-9.!min-w-9.flex.items-center.justify-center.rounded-lg.bg-emerald-500> | <div.relative.flex.items-center.justify-center.rounded-md.lg:h-11.lg:w-11.text-white> | <div.flex.flex-col.items-center.justify-center.h-64.text-center> "Your cart is emptyAdd items to your cart to see them here" | <label.group.relative.max-w-fit.touch-none.tap-highlight-transparent.select-none.flex.size-9>
97	duration-300	<div.fixed.inset-0.z-40.bg-black/40.backdrop-blur-sm.transition-opacity.duration-300.ease-out> | <div.fixed.right-0.top-0.z-50.h-full.w-full.max-w-[420px].bg-white> "SearchStart typing to search products" | <div.fixed.inset-0.z-50.bg-black/40.backdrop-blur-sm.transition-opacity.duration-300.ease-out> | <div.fixed.right-0.top-0.z-50.h-full.w-full.max-w-[420px].bg-white> "Shopping CartYour cart is emptyAdd items to your cart to see them here"
92	transition-colors	<a.font-medium.text-neutral-300.hover:text-white.px-3.lg:px-4.py-2.rounded-full.transition-colors> "All" | <a.font-medium.text-neutral-300.hover:text-white.px-3.lg:px-4.py-2.rounded-full.transition-colors> "Smartphones" | <a.font-medium.text-neutral-300.hover:text-white.px-3.lg:px-4.py-2.rounded-full.transition-colors> "Headphones" | <a.font-medium.text-neutral-300.hover:text-white.px-3.lg:px-4.py-2.rounded-full.transition-colors> "Entertainment"
91	h-full	<div.fixed.right-0.top-0.z-50.h-full.w-full.max-w-[420px].bg-white> "SearchStart typing to search products" | <div.fixed.right-0.top-0.z-50.h-full.w-full.max-w-[420px].bg-white> "Shopping CartYour cart is emptyAdd items to your cart to see them here" | <input.font-inherit.text-[100%].leading-[1.15].m-0.p-0.overflow-visible.box-border.absolute> | <a.block.h-full.w-full>
88	h-3.5	<svg.w-3.5.h-3.5.text-neutral-600.dark:text-neutral-300> | <svg.w-3.5.h-3.5.text-yellow-500.fill-current> | <svg.w-3.5.h-3.5.text-neutral-200.dark:text-neutral-700>
88	w-3.5	<svg.w-3.5.h-3.5.text-neutral-600.dark:text-neutral-300> | <svg.w-3.5.h-3.5.text-yellow-500.fill-current> | <svg.w-3.5.h-3.5.text-neutral-200.dark:text-neutral-700>
86	rounded-full	<a.font-medium.text-neutral-300.hover:text-white.px-3.lg:px-4.py-2.rounded-full.transition-colors> "All" | <a.font-medium.text-neutral-300.hover:text-white.px-3.lg:px-4.py-2.rounded-full.transition-colors> "Smartphones" | <a.font-medium.text-neutral-300.hover:text-white.px-3.lg:px-4.py-2.rounded-full.transition-colors> "Headphones" | <a.font-medium.text-neutral-300.hover:text-white.px-3.lg:px-4.py-2.rounded-full.transition-colors> "Entertainment"
84	bg-white	<body.min-h-screen.font-archivo.text-foreground.bg-white.dark:bg-neutral-950.antialiased> "LogoipsumAllSmartphonesHeadphonesEntertainmentAppliancesSearchStart typing to search productsShoppin" | <main.bg-white.dark:bg-neutral-950> "LogoipsumAllSmartphonesHeadphonesEntertainmentAppliancesSearchStart typing to search productsShoppin" | <div.fixed.right-0.top-0.z-50.h-full.w-full.max-w-[420px].bg-white> "SearchStart typing to search products" | <input.w-full.px-4.py-3.pr-12.text-sm.bg-white.dark:bg-neutral-800.border>
83	cursor-pointer	<button.p-2.text-white.transition-colors.cursor-pointer.rounded-full.hover:bg-white/10> | <div.fixed.inset-0.z-40.bg-black/40.backdrop-blur-sm.transition-opacity.duration-300.ease-out> | <button.p-1.rounded-full.hover:bg-neutral-100.dark:hover:bg-neutral-800.transition-colors.cursor-pointer> | <button.absolute.right-2.top-1/2.-translate-y-1/2.p-2.text-neutral-400.hover:text-neutral-600.dark:hover:text-neutral-300>
82	dark:text-neutral-300	<p.text-sm.md:text-base.font-normal.text-black/60.dark:text-neutral-300> "Discover the latest trends! Fresh products just added—shop new styles, tech, and essentials before t" | <svg.w-3.5.h-3.5.text-neutral-600.dark:text-neutral-300> | <div.flex.items-center.justify-center.cursor-pointer.transition-colors.rounded-full.w-full.h-full> | <a.flex.items-center.justify-center.cursor-pointer.transition-colors.w-full.h-full.rounded-full>
79	transition-all	<label.group.relative.max-w-fit.touch-none.tap-highlight-transparent.select-none.flex.size-9> | <div.absolute.inset-0.transition-all.duration-700.ease-in-out.opacity-100.z-10.scale-100> | <div.absolute.inset-0.transition-all.duration-700.ease-in-out.opacity-0.z-0.scale-[1.02]> | <button.absolute.left-4.md:left-6.lg:left-8.top-1/2.-translate-y-1/2.z-20.w-10>
75	dark:bg-neutral-800	<input.w-full.px-4.py-3.pr-12.text-sm.bg-white.dark:bg-neutral-800.border> | <button.absolute.left-4.md:left-6.lg:left-8.top-1/2.-translate-y-1/2.z-20.w-10> | <button.absolute.right-4.md:right-6.lg:right-8.top-1/2.-translate-y-1/2.z-20.w-10> | <button.flex.h-10.w-10.items-center.justify-center.rounded-full.border.border-neutral-300>
69	relative	<nav.relative.mx-auto.rounded-xl.bg-neutral-900.dark:bg-neutral-900.px-4.md:px-6.lg:px-8> "LogoipsumAllSmartphonesHeadphonesEntertainmentAppliancesSearchStart typing to search productsShoppin" | <li.relative> "All" | <li.relative> "Smartphones" | <li.relative> "Headphones"
68	dark:hover:bg-neutral-700	<button.absolute.left-4.md:left-6.lg:left-8.top-1/2.-translate-y-1/2.z-20.w-10> | <button.absolute.right-4.md:right-6.lg:right-8.top-1/2.-translate-y-1/2.z-20.w-10> | <button.flex.h-10.w-10.items-center.justify-center.rounded-full.border.border-neutral-300> | <button.md:hidden.absolute.right-1.top-1/2.-translate-y-1/2.z-10.flex.h-10>
65	hover:bg-neutral-100	<button.p-1.rounded-full.hover:bg-neutral-100.dark:hover:bg-neutral-800.transition-colors.cursor-pointer> | <button.p-1.rounded-full.cursor-pointer.hover:bg-neutral-100.dark:hover:bg-neutral-800.transition-colors> | <button.flex.h-10.w-10.items-center.justify-center.rounded-full.border.border-neutral-300> | <button.md:hidden.absolute.right-1.top-1/2.-translate-y-1/2.z-10.flex.h-10>
64	text-neutral-600	<svg.w-3.5.h-3.5.text-neutral-600.dark:text-neutral-300> | <div.flex.items-center.justify-center.cursor-pointer.transition-colors.rounded-full.w-full.h-full> | <a.flex.items-center.justify-center.cursor-pointer.transition-colors.w-full.h-full.rounded-full> | <svg.w-4.h-4.text-neutral-600.dark:text-neutral-300>
63	overflow-hidden	<div.relative.shrink-0.overflow-hidden.rounded-full.outline-solid.outline-transparent.group-data-[focus-visible=true]:z-10.group-data-[focus-visible=true]:ring-2> | <div.group.relative.w-full.overflow-hidden.bg-gradient-to-br.from-sky-100.via-orange-50.to-rose-100> | <div.relative.overflow-hidden.bg-gray-200.dark:bg-gray-700.rounded-md.h-full.w-full> | <div.overflow-hidden.rounded-2xl.bg-white.dark:bg-neutral-800.flex.items-center.justify-center.p-6>
61	shadow-md	<button.md:hidden.absolute.right-1.top-1/2.-translate-y-1/2.z-10.flex.h-10> | <button.w-8.h-8.rounded-full.shadow-md.flex.items-center.justify-center.transition-colors> | <div.flex.items-center.justify-center.cursor-pointer.transition-colors.rounded-full.w-full.h-full> | <a.flex.items-center.justify-center.cursor-pointer.transition-colors.w-full.h-full.rounded-full>
54	absolute	<button.absolute.right-2.top-1/2.-translate-y-1/2.p-2.text-neutral-400.hover:text-neutral-600.dark:hover:text-neutral-300> | <input.font-inherit.text-[100%].leading-[1.15].m-0.p-0.overflow-visible.box-border.absolute> | <div.absolute.inset-0.transition-all.duration-700.ease-in-out.opacity-100.z-10.scale-100> | <div.absolute.inset-0.-translate-x-full.animate-[shimmer_2s_infinite].bg-gradient-to-r.from-transparent.via-white/30.to-transparent>
50	dark:text-neutral-700	<svg.w-3.5.h-3.5.text-neutral-200.dark:text-neutral-700>
50	flex-col	<div.fixed.right-0.top-0.z-50.h-full.w-full.max-w-[420px].bg-white> "Shopping CartYour cart is emptyAdd items to your cart to see them here" | <div.flex.flex-col.items-center.justify-center.h-64.text-center> "Your cart is emptyAdd items to your cart to see them here" | <div.flex.flex-col> "Popular ProductsDiscover the latest trends! Fresh products just added—shop new styles, tech, and ess" | <div.flex.flex-col.group> "xcvvxv$25,458.00"
50	text-neutral-200	<svg.w-3.5.h-3.5.text-neutral-200.dark:text-neutral-700>
46	gap-2	<div.flex.items-center.gap-2.md:gap-3> "SearchStart typing to search productsShopping CartYour cart is emptyAdd items to your cart to see th" | <div.hidden.md:flex.items-center.gap-2> | <div.absolute.left-3.top-3.flex.flex-col.gap-2.transition-all.duration-300> | <div.flex.items-center.gap-2.mt-1.5> "$25,458.00"
44	opacity-0	<div.fixed.inset-0.z-40.bg-black/40.backdrop-blur-sm.transition-opacity.duration-300.ease-out> | <div.fixed.inset-0.z-50.bg-black/40.backdrop-blur-sm.transition-opacity.duration-300.ease-out> | <div.absolute.inset-0.transition-all.duration-700.ease-in-out.opacity-0.z-0.scale-[1.02]> | <div.absolute.left-3.top-3.flex.flex-col.gap-2.transition-all.duration-300>
39	h-9	<div.absolute.bottom-3.right-3.translate-y-2.opacity-0.group-hover:translate-y-0.group-hover:opacity-100.transition-all> | <button.w-9.h-9.rounded-full.shadow-md.flex.items-center.justify-center.transition-colors> | <a.cursor-pointer.w-9.h-9.flex.items-center.justify-center.rounded-full.bg-neutral-100>
39	w-9	<div.absolute.bottom-3.right-3.translate-y-2.opacity-0.group-hover:translate-y-0.group-hover:opacity-100.transition-all> | <button.w-9.h-9.rounded-full.shadow-md.flex.items-center.justify-center.transition-colors> | <a.cursor-pointer.w-9.h-9.flex.items-center.justify-center.rounded-full.bg-neutral-100>
37	text-sm	<p.text-sm.font-semibold.text-neutral-300> "Logoipsum" | <ul.hidden.gap-0.5.text-sm.md:flex.items-center> "AllSmartphonesHeadphonesEntertainmentAppliances" | <input.w-full.px-4.py-3.pr-12.text-sm.bg-white.dark:bg-neutral-800.border> | <p.mt-3.text-center.text-sm.md:text-base.font-medium.text-neutral-800.dark:text-neutral-200> "Phone"
36	dark:text-white	<h2.text-lg.font-bold.text-neutral-900.dark:text-white> "Search" | <input.w-full.px-4.py-3.pr-12.text-sm.bg-white.dark:bg-neutral-800.border> | <h2.text-2xl.font-semibold.text-neutral-900.dark:text-white> "Shopping Cart" | <svg.w-6.h-6.text-neutral-900.dark:text-white>
36	object-cover	<img.object-cover.object-center.!z-0> | <img.duration-700.truncate.h-full.transition.group-hover:scale-105.w-full.object-cover.ease-in-out> | <div.relative.overflow-hidden.w-full.h-full.object-cover.transition-transform.duration-500.group-hover:scale-105> | <img.transition-opacity.duration-300.object-cover.w-full.h-full.opacity-100>
