count	class	samples
66	flex	<div.flex.w-full.items-center.justify-between.max-w-screen-2xl.mx-auto> "LogoipsumAllSmartphonesHeadphonesEntertainmentAppliancesSearchStart typing to search productsShoppin" | <div.flex.items-center.gap-3> "Logoipsum" | <a.flex.h-8.w-auto.items-center.md:h-9> "Logoipsum" | <div.flex.items-center.gap-x-2> "Logoipsum"
63	items-center	<div.flex.w-full.items-center.justify-between.max-w-screen-2xl.mx-auto> "LogoipsumAllSmartphonesHeadphonesEntertainmentAppliancesSearchStart typing to search productsShoppin" | <div.flex.items-center.gap-3> "Logoipsum" | <a.flex.h-8.w-auto.items-center.md:h-9> "Logoipsum" | <div.flex.items-center.gap-x-2> "Logoipsum"
28	justify-center	<div.!min-h-9.!min-w-9.flex.items-center.justify-center.rounded-lg.bg-emerald-500> | <div.relative.flex.items-center.justify-center.rounded-md.lg:h-11.lg:w-11.text-white> | <div.flex.flex-col.items-center.justify-center.h-64.text-center> "Your cart is emptyAdd items to your cart to see them here" | <label.group.relative.max-w-fit.touch-none.tap-highlight-transparent.select-none.flex.size-9>
27	w-full	<div.w-full.px-4.md:px-6.lg:px-8.pt-2.md:pt-3> "LogoipsumAllSmartphonesHeadphonesEntertainmentAppliancesSearchStart typing to search productsShoppin" | <div.flex.w-full.items-center.justify-between.max-w-screen-2xl.mx-auto> "LogoipsumAllSmartphonesHeadphonesEntertainmentAppliancesSearchStart typing to search productsShoppin" | <div.fixed.right-0.top-0.z-50.h-full.w-full.max-w-[420px].bg-white> "SearchStart typing to search products" | <input.w-full.px-4.py-3.pr-12.text-sm.bg-white.dark:bg-neutral-800.border>
26	text-sm	<p.text-sm.font-semibold.text-neutral-300> "Logoipsum" | <ul.hidden.gap-0.5.text-sm.md:flex.items-center> "AllSmartphonesHeadphonesEntertainmentAppliances" | <input.w-full.px-4.py-3.pr-12.text-sm.bg-white.dark:bg-neutral-800.border> | <span.text-sm.font-medium> "Profile"
23	cursor-pointer	<button.p-2.text-white.transition-colors.cursor-pointer.rounded-full.hover:bg-white/10> | <div.fixed.inset-0.z-40.bg-black/40.backdrop-blur-sm.transition-opacity.duration-300.ease-out> | <button.p-1.rounded-full.hover:bg-neutral-100.dark:hover:bg-neutral-800.transition-colors.cursor-pointer> | <button.absolute.right-2.top-1/2.-translate-y-1/2.p-2.text-neutral-400.hover:text-neutral-600.dark:hover:text-neutral-300>
22	rounded-full	<a.font-medium.text-neutral-300.hover:text-white.px-3.lg:px-4.py-2.rounded-full.transition-colors> "All" | <a.font-medium.text-neutral-300.hover:text-white.px-3.lg:px-4.py-2.rounded-full.transition-colors> "Smartphones" | <a.font-medium.text-neutral-300.hover:text-white.px-3.lg:px-4.py-2.rounded-full.transition-colors> "Headphones" | <a.font-medium.text-neutral-300.hover:text-white.px-3.lg:px-4.py-2.rounded-full.transition-colors> "Entertainment"
21	dark:border-neutral-800	<div.flex.items-center.justify-between.px-6.py-5.border-b.border-neutral-100.dark:border-neutral-800> "Search" | <div.border-t.border-neutral-100.dark:border-neutral-800> | <div.mx-6.border-b.border-neutral-100.dark:border-neutral-800> | <div.hero-banner.relative.w-full.h-[180px].sm:h-[220px].lg:h-[280px].bg-white.dark:bg-neutral-900>
21	dark:text-neutral-300	<footer.hidden.lg:block.bg-neutral-50.dark:bg-neutral-900/50.text-neutral-700.dark:text-neutral-300> "LogoipsumGo to homepagePremium products with exceptional quality. Your satisfaction is our priority." | <li.text-selected-black.dark:text-neutral-300> "Privacy policy" | <a.block.px-0.py-1.md:p-2.text-nowrap.text-sm.underline-offset-4.text-selected-black> "Privacy policy" | <li.text-selected-black.dark:text-neutral-300> "What's New"
20	border-neutral-100	<div.flex.items-center.justify-between.px-6.py-5.border-b.border-neutral-100.dark:border-neutral-800> "Search" | <div.border-t.border-neutral-100.dark:border-neutral-800> | <div.mx-6.border-b.border-neutral-100.dark:border-neutral-800> | <div.hero-banner.relative.w-full.h-[180px].sm:h-[220px].lg:h-[280px].bg-white.dark:bg-neutral-900>
20	text-selected-black	<li.text-selected-black.dark:text-neutral-300> "Privacy policy" | <a.block.px-0.py-1.md:p-2.text-nowrap.text-sm.underline-offset-4.text-selected-black> "Privacy policy" | <li.text-selected-black.dark:text-neutral-300> "What's New" | <a.block.px-0.py-1.md:p-2.text-nowrap.text-sm.underline-offset-4.text-selected-black> "What's New"
19	dark:text-neutral-400	<p.text-neutral-500.dark:text-neutral-400> "Start typing to search products" | <p.text-neutral-500.dark:text-neutral-400> "Add items to your cart to see them here" | <button.w-full.text-left.px-4.py-3.rounded-l-xl.rounded-r-none.cursor-pointer.flex> "Addresses" | <button.w-full.text-left.px-4.py-3.rounded-l-xl.rounded-r-none.cursor-pointer.flex> "Wishlist"
19	text-xs	<div.inline-flex.items-center.gap-1.px-3.py-1.rounded-full.text-xs.font-semibold> "Verified Account" | <span.w-24.xs:w-28.sm:w-36.shrink-0.text-xs.xs:text-sm.text-neutral-500.dark:text-neutral-400> "First Name" | <span.text-xs.xs:text-sm.font-semibold.text-neutral-900.dark:text-white.break-all.min-w-0> "sgsdg" | <span.w-24.xs:w-28.sm:w-36.shrink-0.text-xs.xs:text-sm.text-neutral-500.dark:text-neutral-400> "Last Name"
18	px-4	<div.w-full.px-4.md:px-6.lg:px-8.pt-2.md:pt-3> "LogoipsumAllSmartphonesHeadphonesEntertainmentAppliancesSearchStart typing to search productsShoppin" | <nav.relative.mx-auto.rounded-xl.bg-neutral-900.dark:bg-neutral-900.px-4.md:px-6.lg:px-8> "LogoipsumAllSmartphonesHeadphonesEntertainmentAppliancesSearchStart typing to search productsShoppin" | <input.w-full.px-4.py-3.pr-12.text-sm.bg-white.dark:bg-neutral-800.border> | <div.pt-16.lg:pt-20.pb-6.px-4.text-center.border-b.border-neutral-100.dark:border-neutral-800> "sgsdg@dffd.comVerified Account"
16	bg-white	<body.min-h-screen.font-archivo.text-foreground.bg-white.dark:bg-neutral-950.antialiased> "LogoipsumAllSmartphonesHeadphonesEntertainmentAppliancesSearchStart typing to search productsShoppin" | <main.bg-white.dark:bg-neutral-950> "LogoipsumAllSmartphonesHeadphonesEntertainmentAppliancesSearchStart typing to search productsShoppin" | <div.fixed.right-0.top-0.z-50.h-full.w-full.max-w-[420px].bg-white> "SearchStart typing to search products" | <input.w-full.px-4.py-3.pr-12.text-sm.bg-white.dark:bg-neutral-800.border>
16	dark:text-white	<h2.text-lg.font-bold.text-neutral-900.dark:text-white> "Search" | <input.w-full.px-4.py-3.pr-12.text-sm.bg-white.dark:bg-neutral-800.border> | <h2.text-2xl.font-semibold.text-neutral-900.dark:text-white> "Shopping Cart" | <svg.w-6.h-6.text-neutral-900.dark:text-white>
16	duration-200	<a.font-medium.text-neutral-300.hover:text-white.px-3.lg:px-4.py-2.rounded-full.transition-colors> "All" | <a.font-medium.text-neutral-300.hover:text-white.px-3.lg:px-4.py-2.rounded-full.transition-colors> "Smartphones" | <a.font-medium.text-neutral-300.hover:text-white.px-3.lg:px-4.py-2.rounded-full.transition-colors> "Headphones" | <a.font-medium.text-neutral-300.hover:text-white.px-3.lg:px-4.py-2.rounded-full.transition-colors> "Entertainment"
16	relative	<nav.relative.mx-auto.rounded-xl.bg-neutral-900.dark:bg-neutral-900.px-4.md:px-6.lg:px-8> "LogoipsumAllSmartphonesHeadphonesEntertainmentAppliancesSearchStart typing to search productsShoppin" | <li.relative> "All" | <li.relative> "Smartphones" | <li.relative> "Headphones"
16	text-neutral-900	<h2.text-lg.font-bold.text-neutral-900.dark:text-white> "Search" | <input.w-full.px-4.py-3.pr-12.text-sm.bg-white.dark:bg-neutral-800.border> | <h2.text-2xl.font-semibold.text-neutral-900.dark:text-white> "Shopping Cart" | <svg.w-6.h-6.text-neutral-900.dark:text-white>
15	font-medium	<a.font-medium.text-neutral-300.hover:text-white.px-3.lg:px-4.py-2.rounded-full.transition-colors> "All" | <a.font-medium.text-neutral-300.hover:text-white.px-3.lg:px-4.py-2.rounded-full.transition-colors> "Smartphones" | <a.font-medium.text-neutral-300.hover:text-white.px-3.lg:px-4.py-2.rounded-full.transition-colors> "Headphones" | <a.font-medium.text-neutral-300.hover:text-white.px-3.lg:px-4.py-2.rounded-full.transition-colors> "Entertainment"
15	text-neutral-500	<svg.w-6.h-6.text-neutral-500> | <p.text-neutral-500.dark:text-neutral-400> "Start typing to search products" | <p.text-neutral-500.dark:text-neutral-400> "Add items to your cart to see them here" | <p.text-sm.text-neutral-500.dark:text-neutral-400.mt-1> "Manage your personal details and account information."
15	transition-colors	<a.font-medium.text-neutral-300.hover:text-white.px-3.lg:px-4.py-2.rounded-full.transition-colors> "All" | <a.font-medium.text-neutral-300.hover:text-white.px-3.lg:px-4.py-2.rounded-full.transition-colors> "Smartphones" | <a.font-medium.text-neutral-300.hover:text-white.px-3.lg:px-4.py-2.rounded-full.transition-colors> "Headphones" | <a.font-medium.text-neutral-300.hover:text-white.px-3.lg:px-4.py-2.rounded-full.transition-colors> "Entertainment"
