count	class	samples
84	flex	<div.flex.w-full.items-center.justify-between.max-w-screen-2xl.mx-auto> "LogoipsumHomeCategoriesCartAccountAllSmartphonesHeadphonesEntertainmentAppliancesSearchStart typing " | <div.flex.items-center.gap-3> "Logoipsum" | <a.flex.h-8.w-auto.items-center.md:h-9> "Logoipsum" | <div.flex.items-center.gap-x-2> "Logoipsum"
70	items-center	<div.flex.w-full.items-center.justify-between.max-w-screen-2xl.mx-auto> "LogoipsumHomeCategoriesCartAccountAllSmartphonesHeadphonesEntertainmentAppliancesSearchStart typing " | <div.flex.items-center.gap-3> "Logoipsum" | <a.flex.h-8.w-auto.items-center.md:h-9> "Logoipsum" | <div.flex.items-center.gap-x-2> "Logoipsum"
58	text-sm	<p.text-sm.font-semibold.text-neutral-300> "Logoipsum" | <ul.hidden.gap-0.5.text-sm.md:flex.items-center> "AllSmartphonesHeadphonesEntertainmentAppliances" | <input.w-full.px-4.py-3.pr-12.text-sm.bg-white.dark:bg-neutral-800.border> | <input.input.w-full.rounded-xl.border.border-neutral-700.bg-neutral-800.py-2.pl-4>
46	dark:text-neutral-300	<dt.mb-3.text-sm.font-medium.capitalize.tracking-wide.text-neutral-700.dark:text-neutral-300> "color" | <dt.mb-3.text-sm.font-medium.capitalize.tracking-wide.text-neutral-700.dark:text-neutral-300> "size" | <p.text-base.font-medium.text-neutral-700.dark:text-neutral-300> "Share:" | <td.px-6.py-4.text-sm.text-neutral-700.dark:text-neutral-300> "Brand"
42	cursor-pointer	<a.flex.flex-col.items-center.gap-1.text-xs.font-semibold.py-2.rounded-lg> "Home" | <button.flex.flex-col.items-center.gap-1.text-xs.font-semibold.py-2.rounded-lg> "Categories" | <button.flex.flex-col.items-center.gap-1.text-xs.font-semibold.py-2.rounded-lg> "Cart" | <button.flex.flex-col.items-center.gap-1.text-xs.font-semibold.py-2.rounded-lg> "Account"
41	justify-center	<div.!min-h-9.!min-w-9.flex.items-center.justify-center.rounded-lg.bg-emerald-500> | <div.flex.items-center.justify-center.rounded-full.transition-all.duration-300.px-6.py-1> | <div.relative.flex.items-center.justify-center.rounded-md.border-0.lg:border.border-solid> | <div.relative.flex.items-center.justify-center.rounded-md.lg:h-11.lg:w-11.text-white>
37	px-6	<div.flex.items-center.justify-center.rounded-full.transition-all.duration-300.px-6.py-1> | <div.flex.items-center.justify-between.px-6.py-5.border-b.border-neutral-100.dark:border-neutral-800> "Search" | <div.px-6.py-4> | <div.overflow-y-auto.h-[calc(100vh-180px)].py-4.px-6> "Start typing to search products"
33	rounded-full	<div.flex.items-center.justify-center.rounded-full.transition-all.duration-300.px-6.py-1> | <button.flex.flex-col.items-center.gap-1.text-xs.font-semibold.py-2.rounded-lg> "Account" | <a.font-medium.text-neutral-300.hover:text-white.px-3.lg:px-4.py-2.rounded-full.transition-colors> "All" | <a.font-medium.text-neutral-300.hover:text-white.px-3.lg:px-4.py-2.rounded-full.transition-colors> "Smartphones"
32	py-4	<div.px-6.py-4> | <div.overflow-y-auto.h-[calc(100vh-180px)].py-4.px-6> "Start typing to search products" | <div.flex.items-center.gap-6.border-t.border-b.border-neutral-200.dark:border-neutral-700.py-4> "Add to WishlistAdd to Compare" | <button.relative.px-6.md:px-8.py-4.text-sm.md:text-base.cursor-pointer.font-semibold> "Description"
31	relative	<nav.relative.mx-auto.rounded-xl.bg-neutral-900.dark:bg-neutral-900.px-4.md:px-6.lg:px-8> "LogoipsumHomeCategoriesCartAccountAllSmartphonesHeadphonesEntertainmentAppliancesSearchStart typing " | <div.relative.flex.items-center.justify-center.rounded-md.border-0.lg:border.border-solid> | <div.relative.flex.items-center.justify-center.rounded-md.lg:h-11.lg:w-11.text-white> | <li.relative> "All"
